# Joint_A_Angle(deg), Cam_X(mm), Cam_Y(mm), Cam_Z(mm), Torso_X(mm), Torso_Y(mm), Torso_Z(mm), EE_X(mm), EE_Y(mm), EE_Z(mm)
13.5121, 4.9937, -22.7204, 169.7405, 238.7405, 4.0063, 279.7938, 10.5808, 58.3260, -70.3661
13.7019, 4.8865, -22.8560, 169.8944, 238.8944, 4.1135, 279.9295, 10.5785, 58.2256, -70.3718
13.8746, 4.7695, -23.0073, 169.9398, 238.9398, 4.2305, 280.0808, 10.5578, 58.2336, -70.3711
14.0627, 4.6521, -23.1778, 170.1077, 239.1077, 4.3479, 280.2513, 10.5181, 58.1275, -70.3935
14.2091, 4.5445, -23.3459, 170.2502, 239.2502, 4.4555, 280.4194, 10.4480, 58.0412, -70.4229
14.3692, 4.4527, -23.4696, 170.4029, 239.4029, 4.5473, 280.5431, 10.4326, 57.9383, -70.4352
14.5307, 4.3228, -23.6345, 170.5233, 239.5233, 4.6772, 280.7079, 10.3683, 57.8773, -70.4423
14.7085, 4.2029, -23.7934, 170.6274, 239.6274, 4.7971, 280.8668, 10.3332, 57.8335, -70.4500
14.8880, 4.0667, -23.9607, 170.8115, 239.8115, 4.9333, 281.0341, 10.2697, 57.7146, -70.4588
15.0662, 3.9309, -24.1250, 170.9467, 239.9467, 5.0691, 281.1985, 10.2137, 57.6440, -70.4612
15.2378, 3.8331, -24.2922, 171.1082, 240.1082, 5.1669, 281.3657, 10.1699, 57.5465, -70.4975
15.4031, 3.7095, -24.4589, 171.2484, 240.2484, 5.2905, 281.5324, 10.1060, 57.4709, -70.5124
15.5780, 3.5805, -24.6076, 171.4136, 240.4136, 5.4195, 281.6810, 10.0562, 57.3694, -70.5133
15.7221, 3.4580, -24.7818, 171.5102, 240.5102, 5.5420, 281.8553, 9.9739, 57.3369, -70.5313
15.8849, 3.3842, -24.8909, 171.5263, 240.5263, 5.6158, 281.9643, 10.0052, 57.3696, -70.5338
16.0297, 3.2413, -25.0309, 171.6626, 240.6626, 5.7587, 282.1044, 9.9270, 57.2934, -70.5185
16.1758, 3.1508, -25.1619, 171.8344, 240.8343, 5.8492, 282.2353, 9.8835, 57.1788, -70.5402
16.3466, 3.0706, -25.2984, 171.9236, 240.9237, 5.9294, 282.3719, 9.8832, 57.1490, -70.5627
16.5034, 2.9546, -25.4526, 172.0468, 241.0468, 6.0454, 282.5261, 9.8256, 57.0910, -70.5744
16.6564, 2.8262, -25.6181, 172.2346, 241.2346, 6.1738, 282.6916, 9.7341, 56.9735, -70.5913
16.8194, 2.7518, -25.7368, 172.3439, 241.3439, 6.2482, 282.8103, 9.7376, 56.9207, -70.6093
16.9948, 2.6264, -25.9033, 172.4633, 241.4633, 6.3736, 282.9767, 9.6829, 56.8745, -70.6201
17.1475, 2.5002, -26.0572, 172.6193, 241.6193, 6.4998, 283.1306, 9.6061, 56.7876, -70.6279
17.3138, 2.4170, -26.1547, 172.7804, 241.7804, 6.5830, 283.2282, 9.6099, 56.6819, -70.6306
17.4643, 2.2740, -26.3188, 172.8275, 241.8275, 6.7260, 283.3923, 9.5355, 56.7053, -70.6212
17.6680, 2.1960, -26.4453, 172.9949, 241.9949, 6.8040, 283.5187, 9.5567, 56.6068, -70.6443
17.8222, 2.0349, -26.6398, 173.2561, 242.2561, 6.9651, 283.7132, 9.4030, 56.4337, -70.6634
17.9774, 1.9745, -26.7424, 173.3250, 242.3250, 7.0255, 283.8158, 9.4259, 56.4181, -70.6783
18.1602, 1.8561, -26.8955, 173.4277, 242.4277, 7.1439, 283.9690, 9.3936, 56.3909, -70.6835
18.3092, 1.7271, -27.0611, 173.5705, 242.5705, 7.2729, 284.1346, 9.3025, 56.3248, -70.6960
18.4663, 1.6274, -27.1641, 173.7148, 242.7148, 7.3726, 284.2376, 9.2829, 56.2414, -70.6895
18.6091, 1.4834, -27.3249, 173.9271, 242.9271, 7.5166, 284.3984, 9.1619, 56.1088, -70.6957
18.7754, 1.4199, -27.4358, 173.9360, 242.9360, 7.5801, 284.5092, 9.2010, 56.1576, -70.7062
18.9259, 1.2960, -27.6099, 174.1405, 243.1405, 7.7040, 284.6833, 9.0920, 56.0370, -70.7347
19.0931, 1.2053, -27.7037, 174.1387, 243.1387, 7.7947, 284.7771, 9.1290, 56.0950, -70.7126
19.2522, 1.0981, -27.8753, 174.3282, 243.3282, 7.9019, 284.9487, 9.0439, 55.9897, -70.7498
19.4313, 1.0300, -27.9800, 174.4158, 243.4158, 7.9700, 285.0534, 9.0767, 55.9653, -70.7603
19.5954, 0.9074, -28.1353, 174.6037, 243.6037, 8.0926, 285.2088, 8.9973, 55.8610, -70.7749
19.7556, 0.7761, -28.2877, 174.7366, 243.7366, 8.2239, 285.3612, 8.9242, 55.8098, -70.7754
19.9151, 0.6525, -28.4447, 174.9462, 243.9462, 8.3475, 285.5182, 8.8312, 55.6865, -70.7931
19.9938, 0.5520, -28.5480, 175.1319, 244.1319, 8.4480, 285.6214, 8.7203, 55.5575, -70.7978
20.0043, 0.4764, -28.6412, 175.2083, 244.2083, 8.5236, 285.7146, 8.5943, 55.5183, -70.8088
20.0054, 0.4729, -28.6482, 175.1815, 244.1815, 8.5271, 285.7216, 8.5952, 55.5464, -70.8076
