# Joint_B_Angle(deg), Cam_X(mm), Cam_Y(mm), Cam_Z(mm), Torso_X(mm), Torso_Y(mm), Torso_Z(mm), EE_X(mm), EE_Y(mm), EE_Z(mm)
3.6268, 13.2056, -23.5279, 173.0714, 242.0714, -4.2056, 280.6014, -20.5976, -50.5398, -71.4666
3.6853, 13.1329, -23.4694, 173.1288, 242.1288, -4.1329, 280.5428, -20.5520, -50.4765, -71.4945
3.7481, 13.0309, -23.4256, 173.0261, 242.0261, -4.0309, 280.4991, -20.5270, -50.5731, -71.5411
3.8035, 12.9687, -23.3523, 173.0278, 242.0278, -3.9687, 280.4257, -20.4806, -50.5655, -71.5470
3.8667, 12.9426, -23.3147, 173.0412, 242.0412, -3.9426, 280.3881, -20.4892, -50.5359, -71.5466
3.9278, 12.8911, -23.2516, 173.0527, 242.0527, -3.8911, 280.3251, -20.4610, -50.5145, -71.5510
3.9920, 12.8200, -23.2066, 173.0074, 242.0074, -3.8200, 280.2801, -20.4465, -50.5500, -71.5770
4.0566, 12.7101, -23.1488, 172.9754, 241.9754, -3.7101, 280.2222, -20.3977, -50.5790, -71.6274
4.1181, 12.6638, -23.1015, 173.0059, 242.0059, -3.6638, 280.1749, -20.3828, -50.5372, -71.6387
4.1840, 12.6546, -23.0382, 173.0936, 242.0936, -3.6546, 280.1116, -20.3722, -50.4330, -71.6156
4.2442, 12.6018, -22.9774, 173.1512, 242.1512, -3.6018, 280.0508, -20.3374, -50.3670, -71.6262
4.3260, 12.5140, -22.9295, 173.0703, 242.0703, -3.5140, 280.0030, -20.3318, -50.4346, -71.6609
4.4007, 12.3997, -22.8755, 173.0085, 242.0085, -3.3997, 279.9489, -20.2970, -50.4906, -71.7146
4.4697, 12.3524, -22.8133, 173.0538, 242.0538, -3.3524, 279.8868, -20.2737, -50.4333, -71.7191
4.5330, 12.2984, -22.7117, 173.1488, 242.1488, -3.2984, 279.7852, -20.2025, -50.3332, -71.7094
4.5870, 12.1752, -22.6539, 172.9775, 241.9775, -3.1752, 279.7274, -20.1582, -50.5064, -71.7588
4.6499, 12.1173, -22.6106, 172.9832, 241.9832, -3.1173, 279.6841, -20.1444, -50.4910, -71.7796
4.7145, 12.0600, -22.5692, 173.0428, 242.0428, -3.0600, 279.6427, -20.1257, -50.4219, -71.8056
4.7760, 12.0393, -22.4993, 173.1300, 242.1300, -3.0393, 279.5728, -20.0984, -50.3230, -71.7877
4.8419, 12.0082, -22.4499, 173.1670, 242.1670, -3.0082, 279.5234, -20.0930, -50.2722, -71.7861
4.9096, 11.8929, -22.3889, 173.0440, 242.0440, -2.8929, 279.4623, -20.0561, -50.3927, -71.8312
4.9852, 11.8252, -22.3431, 173.0591, 242.0591, -2.8252, 279.4166, -20.0442, -50.3659, -71.8592
5.0502, 11.7506, -22.2448, 173.1776, 242.1776, -2.7506, 279.3183, -19.9606, -50.2465, -71.8700
5.1157, 11.7063, -22.1664, 173.1628, 242.1628, -2.7063, 279.2399, -19.9322, -50.2517, -71.8572
5.1935, 11.6361, -22.1434, 173.0672, 242.0672, -2.6361, 279.2168, -19.9568, -50.3320, -71.8915
5.2616, 11.5484, -22.0767, 173.1305, 242.1305, -2.5484, 279.1501, -19.9021, -50.2660, -71.9269
