# Joint_B_Angle(deg), Cam_X(mm), Cam_Y(mm), Cam_Z(mm), Torso_X(mm), Torso_Y(mm), Torso_Z(mm), EE_X(mm), EE_Y(mm), EE_Z(mm)
1.3592, 13.9148, -10.2081, 161.4826, 230.4826, -4.9148, 267.2816, 12.9860, 64.1194, -69.4939
1.5486, 13.7476, -10.4075, 161.5286, 230.5286, -4.7476, 267.4810, 12.9403, 64.0171, -69.5012
1.7512, 13.6152, -10.5561, 161.6485, 230.6485, -4.6152, 267.6296, 12.9736, 63.8418, -69.5075
1.9428, 13.4133, -10.7798, 161.5761, 230.5761, -4.4133, 267.8533, 12.8828, 63.8562, -69.4950
2.1230, 13.2376, -10.9827, 161.5720, 230.5720, -4.2376, 268.0561, 12.8153, 63.8083, -69.4942
2.3133, 13.1084, -11.1180, 161.7159, 230.7159, -4.1084, 268.1914, 12.8459, 63.6141, -69.4961
2.5009, 12.9811, -11.3081, 161.5246, 230.5245, -3.9811, 268.3815, 12.8205, 63.7566, -69.5088
2.6666, 12.8010, -11.4829, 161.6852, 230.6852, -3.8010, 268.5563, 12.7601, 63.5494, -69.4993
2.8573, 12.6671, -11.6556, 161.7030, 230.7030, -3.6671, 268.7291, 12.7539, 63.4834, -69.5122
3.0362, 12.4959, -11.8442, 161.6961, 230.6961, -3.4959, 268.9177, 12.6972, 63.4432, -69.5052
3.2032, 12.3103, -12.0751, 161.6636, 230.6636, -3.3103, 269.1486, 12.5854, 63.4324, -69.5129
3.3935, 12.2164, -12.2021, 161.7283, 230.7283, -3.2164, 269.2755, 12.6398, 63.3236, -69.5298
3.5859, 12.0314, -12.4216, 161.7467, 230.7467, -3.0314, 269.4951, 12.5657, 63.2581, -69.5346
3.7833, 11.8650, -12.6198, 161.7735, 230.7735, -2.8650, 269.6933, 12.5250, 63.1848, -69.5402
3.9894, 11.7269, -12.7954, 161.7825, 230.7825, -2.7269, 269.8688, 12.5292, 63.1292, -69.5510
4.1818, 11.5332, -13.0086, 161.8111, 230.8111, -2.5332, 270.0821, 12.4534, 63.0560, -69.5459
4.3792, 11.3774, -13.2004, 161.8227, 230.8227, -2.3774, 270.2738, 12.4238, 63.0012, -69.5541
4.5672, 11.1957, -13.4054, 161.9419, 230.9419, -2.1957, 270.4788, 12.3565, 62.8413, -69.5598
4.7588, 11.0353, -13.5815, 161.8637, 230.8637, -2.0353, 270.6549, 12.3288, 62.8781, -69.5472
4.9707, 10.8692, -13.7494, 161.9533, 230.9533, -1.8692, 270.8228, 12.3248, 62.7434, -69.5382
5.1970, 10.6717, -13.9664, 162.0387, 231.0387, -1.6717, 271.0399, 12.2782, 62.6121, -69.5373
5.4255, 10.4735, -14.1965, 162.0211, 231.0211, -1.4735, 271.2700, 12.2244, 62.5850, -69.5361
