# Joint_B_Angle(deg), Cam_X(mm), Cam_Y(mm), Cam_Z(mm), Torso_X(mm), Torso_Y(mm), Torso_Z(mm), EE_X(mm), EE_Y(mm), EE_Z(mm)
-16.6104, -0.3577, -7.0387, 170.1805, 239.1805, 9.3577, 264.1122, -1.6745, -59.1968, -71.3667
-16.4399, -0.4669, -6.8554, 170.1890, 239.1890, 9.4669, 263.9289, -1.6444, -59.1363, -71.3689
-16.2901, -0.5741, -6.7129, 170.0578, 239.0578, 9.5741, 263.7863, -1.5972, -59.2223, -71.3772
-16.1433, -0.6944, -6.5226, 170.0116, 239.0116, 9.6944, 263.5960, -1.5191, -59.2150, -71.3805
-15.9596, -0.7584, -6.4006, 169.9811, 238.9811, 9.7584, 263.4740, -1.5682, -59.2095, -71.3712
-15.7988, -0.9373, -6.1756, 169.8914, 238.8914, 9.9373, 263.2490, -1.4363, -59.2359, -71.4034
-15.6375, -1.0138, -6.0287, 169.8689, 238.8689, 10.0138, 263.1021, -1.4368, -59.2184, -71.3931
-15.4705, -1.1432, -5.8341, 169.7658, 238.7658, 10.1432, 262.9075, -1.3597, -59.2679, -71.3967
-15.3062, -1.2459, -5.6755, 169.7989, 238.7989, 10.2459, 262.7490, -1.3514, -59.1941, -71.4082
-15.1422, -1.3713, -5.4768, 169.7521, 238.7521, 10.3713, 262.5503, -1.2812, -59.1896, -71.4115
-14.9950, -1.5010, -5.2875, 169.6172, 238.6172, 10.5010, 262.3610, -1.1821, -59.2741, -71.4152
-14.8408, -1.5814, -5.1617, 169.6641, 238.6641, 10.5814, 262.2351, -1.2043, -59.1965, -71.4252
-14.6602, -1.6866, -5.0078, 169.5526, 238.5526, 10.6866, 262.0813, -1.1869, -59.2671, -71.4279
-14.5055, -1.8039, -4.8185, 169.5253, 238.5253, 10.8039, 261.8920, -1.1230, -59.2489, -71.4308
-14.3477, -1.9246, -4.6382, 169.4391, 238.4391, 10.9246, 261.7116, -1.0572, -59.2909, -71.4358
-14.1939, -2.0042, -4.4833, 169.4249, 238.4249, 11.0042, 261.5568, -1.0430, -59.2691, -71.4248
-14.0300, -2.1211, -4.3008, 169.3888, 238.3888, 11.1211, 261.3743, -0.9929, -59.2629, -71.4301
-13.8656, -2.2536, -4.1277, 169.3250, 238.3250, 11.2536, 261.2011, -0.9383, -59.2864, -71.4509
-13.7092, -2.3636, -3.9236, 169.3156, 238.3156, 11.3636, 260.9970, -0.8705, -59.2517, -71.4417
-13.5347, -2.4838, -3.7850, 169.2171, 238.2171, 11.4838, 260.8585, -0.8559, -59.3175, -71.4661
-13.3673, -2.5811, -3.5718, 169.1856, 238.1856, 11.5811, 260.6453, -0.7938, -59.3039, -71.4395
-13.1994, -2.7015, -3.4200, 169.2129, 238.2129, 11.7015, 260.4934, -0.7822, -59.2450, -71.4689
-13.0289, -2.8178, -3.2450, 169.0983, 238.0983, 11.8178, 260.3184, -0.7327, -59.3219, -71.4703
-12.8588, -2.9398, -3.0557, 169.0839, 238.0839, 11.9398, 260.1291, -0.6843, -59.2985, -71.4783
-12.7033, -3.0631, -2.8606, 169.0132, 238.0132, 12.0631, 259.9340, -0.6063, -59.3304, -71.4796
-12.5473, -3.1451, -2.7130, 169.0256, 238.0256, 12.1451, 259.7864, -0.6030, -59.2899, -71.4768
